DateTime;Wind Speed;Gust;Direction;Temperature;One Hour Precipitation
27.12.20 16:53;11;;110;14;0
27.12.20 17:53;7;;120;13;0
27.12.20 18:53;9;;140;13;0
27.12.20 19:53;13;;110;13;0
27.12.20 20:53;11;;120;13;0
27.12.20 21:53;11;;150;12;0
27.12.20 22:53;17;;140;12;2,54
27.12.20 23:53;20;;130;12;76,2
28.12.20 00:53;7;;10;8;406,4
28.12.20 01:53;7;;70;8;177,8
28.12.20 02:53;6;;90;8;2,54
28.12.20 03:53;9;;120;8;25,4
28.12.20 04:53;15;;120;8;2,54
28.12.20 05:53;6;;0;8;330,2
28.12.20 06:53;11;;120;8;25,4
28.12.20 07:53;13;;120;8;0
28.12.20 08:53;17;;130;9;2,54
28.12.20 09:53;15;;130;9;0
28.12.20 10:53;20;;110;9;2,54
28.12.20 11:53;19;;130;10;2,54
28.12.20 12:53;19;;120;9;254
28.12.20 13:53;15;;130;8;381
28.12.20 14:53;28;;100;8;279,4
28.12.20 15:53;0;;0;8;330,2
28.12.20 16:53;13;;130;7;177,8
28.12.20 17:53;6;;0;8;2,54
28.12.20 18:53;0;;0;8;25,4
28.12.20 19:53;0;;0;7;0
28.12.20 20:53;7;;340;7;0
28.12.20 21:53;6;;190;7;0
28.12.20 22:53;0;;0;6;0
29.12.20 00:53;11;;160;6;0
29.12.20 01:53;6;;350;4;0
29.12.20 02:53;0;;0;4;0
29.12.20 03:53;0;;0;3;0
29.12.20 04:53;0;;0;3;0
29.12.20 05:53;6;;340;3;0
29.12.20 06:53;0;;0;3;0
29.12.20 07:53;0;;0;5;0
29.12.20 08:53;6;;360;8;0
29.12.20 09:53;19;;340;13;0
29.12.20 10:53;17;;340;15;0
29.12.20 12:53;17;37;330;15;0
29.12.20 13:53;28;44;340;16;0
29.12.20 14:53;37;48;360;16;0
29.12.20 15:53;26;43;340;16;0
29.12.20 16:53;15;;350;15;0
29.12.20 17:53;7;;340;14;0
29.12.20 18:53;0;;0;12;0
29.12.20 19:53;9;;250;12;0
29.12.20 20:53;0;;0;10;0
29.12.20 21:53;11;;90;11;0
29.12.20 22:53;6;;20;9;0
29.12.20 23:53;11;;350;8;0
30.12.20 00:53;7;;330;8;0
30.12.20 01:53;0;;0;7;0
30.12.20 02:53;0;;0;6;0
30.12.20 03:53;7;;350;5;0
30.12.20 04:53;6;;20;6;0
30.12.20 05:53;9;;250;6;0
30.12.20 06:53;0;;0;5;0
30.12.20 07:53;0;;0;10;0
30.12.20 08:53;0;;0;11;0
30.12.20 09:53;0;;0;13;0
30.12.20 10:53;0;;0;16;0
30.12.20 12:53;13;;140;19;0
30.12.20 13:53;11;;170;19;0
30.12.20 14:53;9;;190;19;0
