start_hour,activeSessions_site1,utilizationRate_site1,kWhDelivered_site1,idleRate_site1,blockedRate_site1,activeSessions_site2,utilizationRate_site2,kWhDelivered_site2,idleRate_site2,blockedRate_site2,activeSessions_total,kWhDelivered_total,utilizationRate_total,idleRate_total,blockedRate_total,temperature,cloud_cover,cloud_cover_description,pressure,windspeed,precipitation,hour_of_day,week_of_year,day_of_week,month_of_year,is_weekend,date,year
2021-01-01 00:00:00-08:00,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16.0,34.0,Fair,985.16,20.0,0.0,0,53,4,1,False,2021-01-01,2021
2021-01-01 01:00:00-08:00,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,14.0,34.0,Fair,985.49,20.0,0.0,1,53,4,1,False,2021-01-01,2021
2021-01-01 02:00:00-08:00,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,14.0,33.0,Fair,986.15,22.0,0.0,2,53,4,1,False,2021-01-01,2021
2021-01-01 03:00:00-08:00,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,14.0,33.0,Fair,986.48,19.0,0.0,3,53,4,1,False,2021-01-01,2021
2021-01-01 04:00:00-08:00,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,13.0,33.0,Fair,986.81,0.0,0.0,4,53,4,1,False,2021-01-01,2021
2021-01-01 05:00:00-08:00,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,12.0,33.0,Fair,986.81,11.0,0.0,5,53,4,1,False,2021-01-01,2021
2021-01-01 06:00:00-08:00,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,12.0,33.0,Fair,987.47,9.0,0.0,6,53,4,1,False,2021-01-01,2021
2021-01-01 07:00:00-08:00,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,11.0,33.0,Fair,987.14,13.0,0.0,7,53,4,1,False,2021-01-01,2021
2021-01-01 08:00:00-08:00,0,0.0,0.0,0.0,0.0,1,0.0038636363636363634,1.4692394490035168,1.0,0.0,1,1.4692394490035168,0.001985981308411215,1.0,0.001985981308411215,10.0,33.0,Fair,987.8,6.0,0.0,8,53,4,1,False,2021-01-01,2021
2021-01-01 09:00:00-08:00,0,0.0,0.0,0.0,0.0,1,0.01338888888888889,5.083760550996483,0.9984911354205961,2.0202020202019322e-05,1,5.083760550996483,0.006882139148494289,0.9984911354205961,0.006871754932502597,,,,,,,9,53,4,1,False,2021-01-01,2021
